timestamp,user_id,country,sex,age_range,device_type,language,product,traffic_source,browser,session_duration_seconds,conversion_action,pages_visited,cart_value,bounce
2025-01-18 15:34:23,user_120,Australia,Male,35-44,Mobile,ja,Product_2,Social,Safari,241,Viewed Product,13,216.35,1
2025-03-30 21:37:53,user_3318,Brazil,Male,18-24,Mobile,fr,Product_18,Direct,Safari,19,Added to Cart,10,160.02,0
2025-07-28 20:19:28,user_1718,India,Female,35-44,Mobile,en,Product_8,Social,Edge,200,Purchased,7,46.8296832755952,0
2025-05-22 16:16:31,user_773,USA,Female,65+,Tablet,de,Product_9,Direct,Safari,229,Purchased,2,238.75091453007457,0
2024-10-22 01:40:12,user_764,Japan,Male,35-44,Mobile,hi,Product_1,Direct,Edge,24,Initiated Checkout,1,84.58,0
2025-09-02 04:19:36,user_3147,Canada,Other,35-44,Desktop,de,Product_17,Social,Safari,94,Viewed Product,13,235.77,1
2024-10-19 07:57:24,user_3147,USA,Female,18-24,Mobile,pt,Product_17,Social,Chrome,45,Initiated Checkout,9,7.66,0
2025-01-23 02:12:49,user_2908,Germany,Male,45-54,Mobile,fr,Product_1,Organic Search,Safari,70,Initiated Checkout,12,299.18,0
2025-03-03 04:01:33,user_2056,USA,Other,18-24,Tablet,de,Product_7,Social,Firefox,40,Viewed Product,13,94.28,0
2025-09-27 07:40:38,user_2101,Japan,Other,55-64,Desktop,pt,Product_11,Organic Search,Safari,10,Viewed Product,13,7.57,1
2025-04-24 14:36:29,user_1964,USA,Other,25-34,Mobile,ja,Product_13,Referral,Firefox,8,Viewed Product,1,179.9,0
2025-07-10 16:12:50,user_847,USA,Male,25-34,Mobile,de,Product_3,Email,Chrome,288,Initiated Checkout,9,194.58,0
2025-07-19 12:35:23,user_1474,Germany,Female,35-44,Desktop,ja,Product_7,Direct,Chrome,65,Viewed Product,6,33.09,1
2025-01-09 09:17:15,user_2540,UK,Male,18-24,Tablet,ja,Product_1,Social,Edge,139,Abandoned Cart,11,180.35,1
2025-03-26 04:48:56,user_3535,Brazil,Male,65+,Desktop,en,Product_13,Social,Opera,47,Viewed Product,8,283.23,0
2024-12-01 04:01:48,user_950,France,Other,18-24,Mobile,en,Product_13,Referral,Chrome,42,Viewed Product,8,176.43,0
2025-03-15 02:43:42,user_4287,India,Other,25-34,Desktop,hi,Product_6,Direct,Edge,67,Viewed Product,10,176.2,1
2024-11-28 01:34:56,user_2685,UK,Female,25-34,Desktop,ja,Product_9,Social,Safari,19,Viewed Product,11,181.1,1
2024-11-06 21:29:44,user_1882,USA,Male,35-44,Desktop,pt,Product_3,Referral,Opera,82,Viewed Product,2,56.2,1
2025-03-03 20:01:18,user_321,Japan,Other,18-24,Tablet,ko,Product_3,Email,Chrome,20,Added to Cart,11,126.94,0
2024-11-06 05:15:13,user_263,Germany,Male,45-54,Tablet,ja,Product_13,Email,Opera,233,Added to Cart,6,202.62,0
2025-05-17 08:24:04,user_1452,France,Female,45-54,Mobile,de,Product_18,Paid Search,Firefox,89,Initiated Checkout,6,282.93,0
2025-01-12 02:43:06,user_413,Australia,Other,65+,Mobile,hi,Product_17,Organic Search,Firefox,62,Added to Cart,11,120.97,1
2024-12-10 01:34:25,user_4420,South Korea,Female,18-24,Tablet,es,Product_9,Paid Search,Opera,138,Viewed Product,8,126.87,1
2025-04-22 05:58:30,user_1785,USA,Male,18-24,Desktop,ja,Product_20,Social,Firefox,76,Added to Cart,4,130.59,0
2024-11-13 03:14:13,user_1947,Germany,Male,45-54,Desktop,ja,Product_10,Referral,Chrome,27,Viewed Product,14,134.76,0
2025-03-12 08:55:07,user_604,Canada,Male,55-64,Mobile,ja,Product_3,Referral,Chrome,45,Viewed Product,3,212.72,0
2025-08-29 13:37:56,user_4792,Germany,Other,35-44,Tablet,fr,Product_9,Social,Edge,153,Initiated Checkout,4,215.88,1
2025-02-19 03:58:57,user_828,Japan,Female,65+,Desktop,hi,Product_17,Direct,Opera,22,Purchased,13,299.63750850875147,0
2025-03-20 02:32:40,user_1610,USA,Other,65+,Desktop,hi,Product_11,Organic Search,Opera,108,Added to Cart,13,158.32,0
2025-07-10 15:10:55,user_1073,India,Other,25-34,Tablet,hi,Product_4,Email,Firefox,143,Added to Cart,7,252.55,1
2024-10-03 09:08:06,user_3885,Germany,Male,25-34,Tablet,pt,Product_2,Referral,Opera,116,Added to Cart,2,209.47,0
2025-06-24 20:01:18,user_346,France,Other,45-54,Mobile,ko,Product_3,Email,Edge,27,Viewed Product,8,63.4,1
2024-12-20 17:56:04,user_3859,Australia,Male,25-34,Mobile,ja,Product_20,Social,Edge,71,Viewed Product,1,14.41,1
2024-12-13 22:07:18,user_1895,Canada,Female,25-34,Tablet,hi,Product_14,Direct,Safari,96,Purchased,2,286.26740152600894,1
2024-10-23 15:53:32,user_4542,France,Other,55-64,Mobile,en,Product_6,Organic Search,Chrome,60,Abandoned Cart,6,297.61,1
2025-03-15 08:17:30,user_2274,Canada,Other,25-34,Desktop,es,Product_8,Organic Search,Edge,357,Viewed Product,4,96.67,0
2024-10-04 18:38:17,user_4682,Australia,Female,65+,Mobile,ja,Product_10,Direct,Edge,2,Viewed Product,1,194.68,0
2025-07-27 07:07:08,user_324,Canada,Female,35-44,Mobile,ko,Product_2,Direct,Firefox,105,Viewed Product,6,269.77,0
2025-02-24 15:20:32,user_4723,India,Other,18-24,Desktop,hi,Product_1,Direct,Chrome,128,Viewed Product,4,89.67,0
2025-08-22 18:14:52,user_1192,France,Female,55-64,Desktop,hi,Product_15,Organic Search,Chrome,139,Purchased,2,86.26056073132571,0
2025-07-03 19:56:15,user_2196,South Korea,Other,35-44,Tablet,es,Product_16,Organic Search,Opera,93,Abandoned Cart,1,102.52,0
2025-02-22 19:35:59,user_2547,Australia,Male,45-54,Mobile,en,Product_13,Organic Search,Opera,172,Purchased,3,431.586728151922,0
2025-09-25 12:19:03,user_1287,Germany,Female,25-34,Desktop,es,Product_18,Organic Search,Chrome,118,Viewed Product,9,222.02,0
2025-02-28 23:25:05,user_3522,Japan,Male,65+,Tablet,de,Product_6,Email,Firefox,191,Added to Cart,3,121.47,1
2025-09-03 10:10:50,user_1145,USA,Male,55-64,Desktop,ja,Product_4,Organic Search,Safari,187,Added to Cart,9,77.43,0
2025-02-22 05:00:19,user_3222,Canada,Male,45-54,Tablet,ja,Product_15,Organic Search,Chrome,57,Initiated Checkout,4,82.77,0
2025-04-11 10:13:59,user_2433,South Korea,Female,18-24,Tablet,hi,Product_18,Paid Search,Chrome,113,Abandoned Cart,10,25.12,0
2024-10-07 13:38:14,user_2662,India,Male,65+,Tablet,ja,Product_8,Referral,Edge,170,Viewed Product,3,40.39,1
